title,release_date,rating,vote_count,posetr url,genres,runtime,homepage,original_language,status,watch on,watch link
The Hobbit: The Desolation of Smaug,11-12-2013,7.6,4524,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",161,http://www.thehobbit.com/,en,Released,,
The Golden Compass,04-12-2007,5.8,1303,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",113,http://www.goldencompassmovie.com/index_german.html,en,Released,,
King Kong,14-12-2005,6.6,2337,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",187,,en,Released,,
Titanic,18-11-1997,7.5,7562,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",194,http://www.titanicmovie.com,en,Released,,
Captain America: Civil War,27-04-2016,7.1,7241,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",147,http://marvel.com/captainamericapremiere,en,Released,,
Battleship,11-04-2012,5.5,2114,,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",131,,en,Released,,
Jurassic World,09-06-2015,6.5,8662,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",124,http://www.jurassicworld.com/,en,Released,,
Skyfall,25-10-2012,6.9,7604,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",143,http://www.skyfall-movie.com,en,Released,,
Spider-Man 2,25-06-2004,6.7,4321,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",127,http://www.sonypictures.com/movies/spider-man2/,en,Released,,
Iron Man 3,18-04-2013,6.8,8806,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",130,http://marvel.com/ironman3,en,Released,,
Alice in Wonderland,03-03-2010,6.4,4645,,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",108,http://disney.go.com/wonderland/,en,Released,,
X-Men: The Last Stand,24-05-2006,6.3,3525,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",104,,en,Released,,
Monsters University,20-06-2013,7,3528,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",104,,en,Released,,
Transformers: Revenge of the Fallen,19-06-2009,6,3138,,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",150,http://www.transformersmovie.com/,en,Released,,
Transformers: Age of Extinction,25-06-2014,5.8,3095,,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",165,http://www.transformersmovie.com,en,Released,,
Oz: The Great and Powerful,07-03-2013,5.7,3530,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",130,http://www.ozthegreatandpowerfulmovie.com,en,Released,,
The Amazing Spider-Man 2,16-04-2014,6.5,4179,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",142,http://www.theamazingspiderman.com,en,Released,,
TRON: Legacy,10-12-2010,6.3,2841,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",125,http://disney.go.com/tron/,en,Released,,
Cars 2,11-06-2011,5.8,2033,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",106,http://www.disney.go.com/cars/,en,Released,,
Green Lantern,16-06-2011,5.1,2487,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",114,http://greenlanternmovie.warnerbros.com/,en,Released,,
Toy Story 3,16-06-2010,7.6,4597,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",103,http://disney.go.com/toystory/,en,Released,,
Terminator Salvation,20-05-2009,5.9,2463,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",115,https://www.warnerbros.com/terminator-salvation,en,Released,,
Furious 7,01-04-2015,7.3,4176,,"[{""id"": 28, ""name"": ""Action""}]",137,http://www.furious7.com/,en,Released,,
World War Z,20-06-2013,6.7,5560,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",116,http://www.worldwarzmovie.com,en,Released,,
X-Men: Days of Future Past,15-05-2014,7.5,6032,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",131,http://www.x-menmovies.com/,en,Released,,
Star Trek Into Darkness,05-05-2013,7.4,4418,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",132,,en,Released,,
Jack the Giant Slayer,27-02-2013,5.5,2598,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",114,http://jackthegiantkiller.warnerbros.com,en,Released,,
The Great Gatsby,10-05-2013,7.3,3769,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",143,,en,Released,,
Prince of Persia: The Sands of Time,19-05-2010,6.2,2317,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",116,http://disney.go.com/disneypictures/princeofpersia,en,Released,,
Pacific Rim,11-07-2013,6.7,4794,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",131,http://www.pacificrimmovie.com/,en,Released,,
Transformers: Dark of the Moon,28-06-2011,6.1,3299,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",154,http://www.transformersmovie.com/,en,Released,,
Indiana Jones and the Kingdom of the Crystal Skull,21-05-2008,5.7,2495,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",122,http://www.indianajones.com/site/index.html,en,Released,,
The Good Dinosaur,14-11-2015,6.6,1736,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",93,http://movies.disney.com/the-good-dinosaur,en,Released,,
Brave,21-06-2012,6.7,4641,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",93,http://disney.go.com/brave/#/home,en,Released,,
Star Trek Beyond,07-07-2016,6.6,2568,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",122,http://www.startrekmovie.com/,en,Released,,
WALL·E,22-06-2008,7.8,6296,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",98,http://disney.go.com/disneypictures/wall-e/,en,Released,,
Rush Hour 3,08-08-2007,6.1,783,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",91,,en,Released,,
2012,10-10-2009,5.6,4903,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",158,http://www.sonypictures.com/movies/2012,en,Released,,
A Christmas Carol,04-11-2009,6.6,1095,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",96,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,en,Released,,
Jupiter Ascending,04-02-2015,5.2,2768,,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",124,http://www.jupiterascending.com,en,Released,,
The Legend of Tarzan,29-06-2016,5.5,2430,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",109,http://legendoftarzan.com,en,Released,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",07-12-2005,6.7,2629,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",143,,en,Released,,
X-Men: Apocalypse,18-05-2016,6.4,4721,,"[{""id"": 878, ""name"": ""Science Fiction""}]",144,http://www.foxmovies.com/movies/x-men-apocalypse,en,Released,,
The Dark Knight,16-07-2008,8.2,12002,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",152,http://thedarkknight.warnerbros.com/dvdsite/,en,Released,,
Up,13-05-2009,7.7,6870,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",96,http://disney.go.com/disneypictures/up/,en,Released,,
Monsters vs Aliens,19-03-2009,6,1423,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",94,http://www.monstersvsaliens.com/,en,Released,,
Iron Man,30-04-2008,7.4,8776,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",126,http://www.ironmanmovie.com/,en,Released,,
Hugo,22-11-2011,7,2141,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",126,http://www.hugomovie.com/,en,Released,,
Wild Wild West,29-06-1999,5.1,1020,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",106,,en,Released,,
The Mummy: Tomb of the Dragon Emperor,01-07-2008,5.2,1387,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",112,http://www.themummy.com/,en,Released,,
Suicide Squad,02-08-2016,5.9,7458,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",123,http://www.suicidesquad.com/,en,Released,,
Evan Almighty,09-06-2007,5.3,1151,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",96,http://www.evanalmighty.com/,en,Released,,
Edge of Tomorrow,27-05-2014,7.6,4858,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",113,http://www.edgeoftomorrowmovie.com/,en,Released,,
Waterworld,28-07-1995,5.9,992,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",135,,en,Released,,
G.I. Joe: The Rise of Cobra,04-08-2009,5.6,1962,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",118,http://www.gijoemovie.com/,en,Released,,
Inside Out,09-06-2015,8,6560,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",94,http://movies.disney.com/inside-out,en,Released,,
The Jungle Book,07-04-2016,6.7,2892,,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",106,http://movies.disney.com/the-jungle-book-2016,en,Released,,
Iron Man 2,28-04-2010,6.6,6849,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",124,http://www.ironmanmovie.com/,en,Released,,
Snow White and the Huntsman,30-05-2012,5.8,3118,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",127,http://www.snowwhiteandthehuntsman.com/,en,Released,,
Maleficent,28-05-2014,7,4496,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",97,http://movies.disney.com/maleficent,en,Released,,
Dawn of the Planet of the Apes,26-06-2014,7.3,4410,,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",130,http://www.dawnofapes.com/,en,Released,,
The Lovers,13-02-2015,4.8,34,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}]",109,,en,Released,,
47 Ronin,06-12-2013,5.9,1326,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",119,,en,Released,,
Captain America: The Winter Soldier,20-03-2014,7.6,5764,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",136,http://www.captainamericathewintersoldiermovie.com,en,Released,,
Shrek Forever After,16-05-2010,6,1959,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",93,http://www.shrekforeverafter.com/,en,Released,,
Tomorrowland,19-05-2015,6.2,2846,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",130,http://movies.disney.com/tomorrowland,en,Released,,
Big Hero 6,24-10-2014,7.8,6135,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",102,http://movies.disney.com/big-hero-6,en,Released,,
Wreck-It Ralph,01-11-2012,7.1,4570,,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",108,http://disney.go.com/wreck-it-ralph,en,Released,,
The Polar Express,10-11-2004,6.4,1474,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",100,,en,Released,,
Independence Day: Resurgence,22-06-2016,4.9,2491,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",120,http://www.warof1996.com,en,Released,,
How to Train Your Dragon,05-03-2010,7.5,4227,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",98,http://www.howtotrainyourdragon.com/,en,Released,,
Terminator 3: Rise of the Machines,02-07-2003,5.9,2143,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",109,,en,Released,,
Guardians of the Galaxy,30-07-2014,7.9,9742,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",121,http://marvel.com/guardians,en,Released,,
Interstellar,05-11-2014,8.1,10867,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",169,http://www.interstellarmovie.net/,en,Released,,
Inception,14-07-2010,8.1,13752,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]",148,http://inceptionmovie.warnerbros.com/,en,Released,,
Shin Godzilla,29-07-2016,6.5,143,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",120,,ja,Released,,
The Hobbit: An Unexpected Journey,26-11-2012,7,8297,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",169,http://www.thehobbit.com/,en,Released,,
The Fast and the Furious,22-06-2001,6.6,3428,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",106,,en,Released,,
The Curious Case of Benjamin Button,24-11-2008,7.3,3292,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",166,http://www.benjaminbutton.com/,en,Released,,
X-Men: First Class,24-05-2011,7.1,5181,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",132,http://www.x-menfirstclassmovie.com/,en,Released,,
The Hunger Games: Mockingjay - Part 2,18-11-2015,6.6,3984,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",137,http://www.thehungergames.movie/,en,Released,,
The Sorcerer's Apprentice,13-07-2010,5.8,1470,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",109,http://disney.go.com/disneypictures/sorcerersapprentice/,en,Released,,
Poseidon,12-05-2006,5.5,583,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",99,http://www2.warnerbros.com/poseidon/,en,Released,,
Alice Through the Looking Glass,25-05-2016,6.5,1725,,"[{""id"": 14, ""name"": ""Fantasy""}]",113,http://movies.disney.com/alice-through-the-looking-glass,en,Released,,
Shrek the Third,17-05-2007,6,2278,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",93,http://www.shrekthethird.com/flash/index.html,en,Released,,
Warcraft,25-05-2016,6.3,2268,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",123,http://www.warcraft-themovie.com/,en,Released,,
Terminator Genisys,23-06-2015,5.8,3631,,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",126,http://www.terminatormovie.com/,en,Released,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,13-08-2010,6.2,1514,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",113,,en,Released,,
Pearl Harbor,21-05-2001,6.6,1791,,"[{""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",183,,en,Released,,
